a,beta 1,beta 2,beta 3
1,2,4,6
1,2,4,15
1,2,4,30
1,2,4,45
1,2,10,15
1,2,10,30
1,2,10,45
1,2,20,30
1,2,20,45
1,2,30,45
1,5,4,6
1,5,4,15
1,5,4,30
1,5,4,45
1,5,10,15
1,5,10,30
1,5,10,45
1,5,20,30
1,5,20,45
1,5,30,45
1,10,4,6
1,10,4,15
1,10,4,30
1,10,4,45
1,10,20,30
1,10,20,45
1,10,30,45
1,15,4,6
1,15,4,30
1,15,4,45
1,15,20,30
1,15,20,45
1,15,30,45
1,30,4,6
1,30,4,45
2,2,4,6
2,2,4,15
2,2,4,30
2,2,4,45
2,2,10,15
2,2,10,30
2,2,10,45
2,2,20,30
2,2,20,45
2,2,30,45
2,5,4,6
2,5,4,15
2,5,4,30
2,5,4,45
2,5,10,15
2,5,10,30
2,5,10,45
2,5,20,30
2,5,20,45
2,5,30,45
2,10,4,6
2,10,4,15
2,10,4,30
2,10,4,45
2,10,20,30
2,10,20,45
2,10,30,45
2,15,4,6
2,15,4,30
2,15,4,45
2,15,20,30
2,15,20,45
2,15,30,45
2,30,4,6
2,30,4,45
3,2,4,6
3,2,4,15
3,2,4,30
3,2,4,45
3,2,10,15
3,2,10,30
3,2,10,45
3,2,20,30
3,2,20,45
3,2,30,45
3,5,4,6
3,5,4,15
3,5,4,30
3,5,4,45
3,5,10,15
3,5,10,30
3,5,10,45
3,5,20,30
3,5,20,45
3,5,30,45
3,10,4,6
3,10,4,15
3,10,4,30
3,10,4,45
3,10,20,30
3,10,20,45
3,10,30,45
3,15,4,6
3,15,4,30
3,15,4,45
3,15,20,30
3,15,20,45
3,15,30,45
3,30,4,6
3,30,4,45
4,2,4,6
4,2,4,15
4,2,4,30
4,2,4,45
4,2,10,15
4,2,10,30
4,2,10,45
4,2,20,30
4,2,20,45
4,2,30,45
4,5,4,6
4,5,4,15
4,5,4,30
4,5,4,45
4,5,10,15
4,5,10,30
4,5,10,45
4,5,20,30
4,5,20,45
4,5,30,45
4,10,4,6
4,10,4,15
4,10,4,30
4,10,4,45
4,10,20,30
4,10,20,45
4,10,30,45
4,15,4,6
4,15,4,30
4,15,4,45
4,15,20,30
4,15,20,45
4,15,30,45
4,30,4,6
4,30,4,45
5,2,4,6
5,2,4,15
5,2,4,30
5,2,4,45
5,2,10,15
5,2,10,30
5,2,10,45
5,2,20,30
5,2,20,45
5,2,30,45
5,5,4,6
5,5,4,15
5,5,4,30
5,5,4,45
5,5,10,15
5,5,10,30
5,5,10,45
5,5,20,30
5,5,20,45
5,5,30,45
5,10,4,6
5,10,4,15
5,10,4,30
5,10,4,45
5,10,20,30
5,10,20,45
5,10,30,45
5,15,4,6
5,15,4,30
5,15,4,45
5,15,20,30
5,15,20,45
5,15,30,45
5,30,4,6
5,30,4,45
